"chrom1" "chrom2" "gene1" "gene2" "gene3" "gene4" "gene5" "gene6" "gene7" "gene8" "cellnum"
2 2 1 2 1 2 2 2 3 2 1
2 2 1 2 2 2 2 2 2 2 2
2 2 2 1 2 2 1 1 1 2 1
2 2 2 1 2 2 1 1 3 2 1
2 2 2 1 2 2 1 2 2 2 1
2 2 2 1 2 2 2 2 1 2 1
2 2 2 1 2 2 2 2 2 2 2
2 2 2 1 2 2 2 2 3 2 1
3 3 2 1 2 3 1 1 2 2 1
2 2 2 2 2 1 2 2 2 1 1
2 2 2 2 2 1 2 2 2 2 1
2 2 2 2 2 2 1 1 2 2 1
2 2 2 2 2 2 1 2 1 2 1
2 2 2 2 2 2 1 2 2 2 8
2 2 2 2 2 2 1 2 3 2 1
2 2 2 2 2 2 2 1 1 2 1
2 2 2 2 2 2 2 1 2 2 5
1 1 2 2 2 2 2 1 3 2 1
2 2 2 2 2 2 2 2 1 2 7
2 2 2 2 2 2 2 2 2 1 3
4 4 2 2 2 2 2 2 2 2 1
2 2 2 2 2 2 2 2 3 2 11
2 2 2 2 2 2 2 2 4 2 1
2 2 2 2 2 2 2 3 2 2 4
2 2 2 2 2 3 2 1 2 2 1
2 2 2 2 2 3 2 2 2 2 1
2 2 2 2 3 2 2 2 2 2 1
3 3 3 1 2 2 1 1 2 3 1
2 2 3 1 2 2 2 2 2 2 1
2 2 4 1 2 2 1 1 1 2 2
3 3 4 1 2 2 1 1 2 2 2
2 2 4 1 2 2 1 2 2 2 2
2 2 4 1 2 2 1 2 3 2 1
3 3 4 1 2 2 2 2 1 2 1
2 2 4 1 2 3 1 1 1 2 1
2 2 4 2 2 2 2 2 2 2 1
2 2 4 2 2 3 1 1 3 2 1
4 4 7 1 4 4 1 2 2 4 1
4 4 8 3 4 4 2 2 3 4 1
