"chrom1" "chrom2" "gene1" "gene2" "gene3" "gene4" "gene5" "gene6" "gene7" "gene8" "cellnum"
2 2 0 0 2 2 1 2 5 2 1
2 2 0 1 2 1 1 2 6 2 1
2 2 0 1 6 2 1 2 6 3 1
4 4 1 0 4 2 0 1 7 1 1
2 2 1 0 4 2 0 2 4 2 1
1 1 1 0 4 2 2 1 2 3 1
2 2 1 1 2 2 1 1 1 2 1
3 3 1 1 2 2 1 1 8 2 1
2 2 1 1 2 2 1 2 4 2 1
2 2 1 1 2 2 1 2 4 3 1
3 3 1 1 2 2 1 2 8 3 1
2 2 1 1 3 1 1 2 2 2 1
1 1 1 1 3 2 1 2 4 2 1
3 3 1 1 3 2 1 2 4 3 1
2 2 1 1 4 2 1 2 4 2 2
5 5 1 1 4 2 1 2 8 4 1
2 2 1 1 4 2 2 2 8 3 1
2 2 1 1 8 2 2 2 4 3 1
2 2 1 2 2 2 1 1 6 2 1
2 2 1 2 2 2 2 2 2 2 1
1 1 1 2 4 0 1 2 4 2 1
2 2 1 2 4 2 2 2 4 4 1
3 3 2 0 0 2 0 2 5 3 1
2 2 2 0 1 1 0 1 4 2 1
2 2 2 0 1 2 1 2 2 2 1
2 2 2 0 3 2 1 1 1 3 1
1 1 2 0 4 2 1 2 2 2 1
2 2 2 0 4 2 2 2 4 3 1
2 2 2 0 4 2 2 3 8 2 1
1 1 2 0 5 2 1 2 2 3 1
2 2 2 1 2 1 1 1 7 2 1
3 3 2 1 2 2 1 2 2 1 1
2 2 2 1 2 3 0 2 2 3 1
2 2 2 1 3 1 1 2 5 2 1
1 1 2 1 3 2 1 2 4 2 1
1 1 2 1 3 2 1 2 4 3 1
3 3 2 1 4 1 1 1 4 3 1
4 4 2 1 4 1 1 2 4 2 1
2 2 2 1 4 1 1 2 4 3 1
3 3 2 1 4 2 0 2 8 4 1
1 1 2 1 4 2 1 1 4 2 1
3 3 2 1 4 2 1 2 4 3 4
2 2 2 1 4 2 1 3 4 3 1
2 2 2 1 4 2 2 2 8 4 1
2 2 2 1 4 2 2 4 7 2 1
2 2 2 1 5 2 1 2 5 2 1
2 2 2 1 5 2 1 2 5 3 1
2 2 2 1 5 2 2 1 4 2 1
1 1 2 1 6 2 1 2 2 2 1
2 2 2 1 6 2 1 2 4 3 1
3 3 2 1 6 2 1 2 8 3 1
1 1 2 2 2 1 2 1 6 2 1
4 4 2 2 2 1 2 2 2 2 1
3 3 2 2 2 2 0 2 4 3 1
2 2 2 2 2 2 1 2 1 2 1
2 2 2 2 2 2 1 2 2 2 2
2 2 2 2 2 2 2 0 1 1 1
2 2 2 2 2 2 2 2 2 4 1
2 2 2 2 3 2 2 2 2 3 1
2 2 2 2 4 1 2 2 5 2 1
2 2 2 2 4 2 2 2 2 4 1
1 1 2 2 4 3 2 2 6 2 1
2 2 2 2 5 2 1 2 5 3 1
2 2 3 0 3 2 1 2 4 3 1
1 1 3 0 4 3 1 2 5 4 1
2 2 3 1 2 2 1 2 2 2 1
2 2 3 1 2 2 2 1 2 3 1
2 2 3 1 2 3 0 2 6 2 1
2 2 3 1 3 2 1 2 2 2 1
4 4 3 1 3 2 1 2 4 2 1
2 2 3 1 3 2 2 2 4 3 1
2 2 3 1 4 1 1 2 4 2 1
2 2 3 1 4 2 1 2 2 3 1
2 2 3 1 4 2 2 1 6 4 1
3 3 3 1 4 3 1 2 2 3 1
2 2 3 1 5 1 1 2 2 3 1
4 4 3 2 3 2 1 2 4 3 1
3 3 3 2 8 2 1 4 11 3 1
2 2 4 0 2 1 1 2 3 3 1
2 2 4 1 4 2 1 2 4 2 1
3 3 4 1 4 2 1 2 4 3 1
2 2 4 1 4 2 1 2 5 3 1
2 2 4 1 4 2 1 2 8 2 1
2 2 4 1 4 2 1 2 12 3 1
2 2 4 1 5 2 1 2 4 3 1
2 2 4 1 6 2 2 2 4 2 1
2 2 4 1 6 4 1 3 8 5 1
4 4 4 1 8 2 0 2 8 3 1
2 2 4 2 2 2 0 1 4 3 1
1 1 4 2 2 2 2 2 4 3 1
2 2 4 2 4 2 2 2 8 3 1
2 2 5 2 2 2 1 2 10 2 1
4 4 8 4 12 4 4 4 14 6 1
