	gene8	gene7	gene1	gene3	gene4	gene2	cellnum	chrom3	chrom2	gene5	gene6	chrom1
0	2	2	2	2	1	2	2	1	2	2	2	3
1	3	2	2	1	2	1	2	1	2	2	3	2
2	3	2	3	4	2	2	2	2	2	1	1	2
3	1	2	2	2	2	2	1	2	2	2	2	1
4	1	1	2	1	1	3	2	2	2	2	2	1
5	1	2	2	2	2	1	2	3	1	2	4	1
6	2	2	4	3	4	2	2	2	1	3	2	2
7	2	3	1	3	2	2	2	2	4	4	4	1
8	1	1	1	2	1	2	1	1	2	2	2	2
9	2	2	1	4	2	2	2	2	2	1	2	2
10	2	1	2	3	2	2	2	2	2	1	2	1
11	2	2	2	1	2	2	2	2	4	2	1	2
12	2	2	1	1	4	2	3	4	2	2	2	2
13	2	2	2	1	1	2	4	1	2	2	2	2
14	4	2	1	2	1	3	1	2	2	1	2	2
15	1	2	1	3	2	1	4	2	2	1	2	2
16	1	2	4	1	1	2	1	2	1	2	1	3
17	2	1	2	2	2	2	1	3	2	2	2	2
18	3	1	3	1	2	2	2	2	1	1	2	2
19	2	3	2	2	2	2	1	1	2	1	1	1
20	1	2	2	3	2	2	2	2	1	2	1	3
21	1	2	3	2	2	2	1	2	1	2	3	2
22	2	1	2	2	2	3	2	2	2	1	3	1
23	4	1	2	1	2	1	2	2	1	2	2	2
24	1	4	2	1	2	3	2	2	4	4	2	2
25	4	2	2	2	2	1	2	2	2	1	2	2
26	2	2	1	2	2	2	2	2	4	3	1	4
27	1	1	2	2	1	2	2	2	2	2	2	1
28	2	2	1	2	3	2	1	2	1	2	4	2
29	2	2	2	2	2	2	2	2	3	2	1	2
30	2	1	2	3	2	1	2	2	2	3	2	2
31	4	2	2	1	2	2	3	2	1	2	1	2
32	1	2	2	2	2	2	3	2	3	1	2	4
33	2	1	2	2	1	3	4	2	3	3	2	2
34	1	3	2	3	3	1	2	2	1	3	1	1
35	2	2	2	2	2	4	2	1	2	2	2	2
36	1	2	2	1	2	2	1	1	2	1	2	2
37	1	2	3	4	1	1	2	1	1	2	2	2
38	2	2	2	2	2	2	3	2	3	1	2	1
39	2	3	2	2	2	2	3	2	2	2	1	2
40	2	2	3	2	2	1	2	2	2	1	1	2
41	2	2	1	2	2	2	2	2	2	2	2	2
42	2	1	2	2	3	2	4	1	2	2	2	2
43	1	1	2	2	4	2	2	1	1	3	3	2
44	2	2	2	4	1	1	2	2	2	1	1	2
45	2	2	1	4	4	2	2	1	1	1	2	2
46	1	2	2	2	2	2	2	2	2	2	1	1
47	2	3	2	1	2	2	2	1	3	1	2	2
48	1	1	2	3	2	1	3	2	2	2	2	2
49	2	1	2	2	2	2	1	2	2	3	2	2
50	2	1	4	1	2	2	1	3	2	2	2	2
51	1	1	1	2	4	1	3	2	2	2	1	2
52	2	1	2	2	3	2	2	1	2	1	1	2
53	2	2	1	2	2	1	1	2	1	2	2	1
54	1	3	2	2	3	3	1	2	1	3	2	3
55	2	2	2	2	2	1	1	2	2	2	2	2
56	2	2	2	2	2	2	2	4	1	2	1	1
57	2	2	2	2	3	1	2	1	2	2	1	1
58	3	2	1	2	1	2	2	4	1	2	2	2
59	3	2	2	1	1	2	3	3	2	1	1	4
60	3	2	2	1	4	2	2	1	2	1	1	2
61	2	2	2	2	2	3	2	2	1	2	2	2
62	1	2	2	1	1	1	4	1	2	2	2	3
63	2	2	1	2	2	1	1	2	2	2	1	2
64	1	1	2	1	4	2	1	2	2	2	2	2
65	1	1	1	1	2	1	2	2	1	1	1	1
66	1	2	1	2	2	1	2	2	1	2	3	2
67	2	2	2	1	2	2	2	2	2	2	1	1
68	2	2	2	2	1	1	3	2	2	2	1	2
69	2	3	1	1	2	3	3	1	2	2	3	2
70	2	2	2	2	2	2	2	1	2	2	2	3
71	4	1	2	1	2	2	2	2	1	1	2	2
72	2	1	2	2	2	3	2	1	1	3	2	1
73	1	2	2	1	1	2	2	2	3	1	1	1
74	1	4	2	2	1	2	1	2	2	1	1	2
75	2	2	2	3	1	2	2	1	2	2	2	2
76	4	1	2	2	1	3	1	1	1	2	1	1
77	2	2	2	1	2	2	1	2	3	2	2	3
78	3	3	2	2	1	2	2	1	2	1	3	1
79	2	2	3	2	2	2	2	2	1	1	2	2
80	2	1	2	1	2	2	2	1	1	2	2	1
81	2	1	4	2	2	1	2	2	2	3	2	4
82	3	3	1	2	2	1	2	2	2	1	2	2
83	2	2	2	2	2	2	3	1	2	1	3	1
84	2	2	2	3	1	1	2	3	2	2	2	3
85	2	2	2	1	2	1	3	2	2	1	2	1
86	2	2	2	2	2	2	4	2	2	4	1	2
87	3	3	1	4	2	3	2	2	1	3	1	2
88	2	2	1	1	2	1	2	3	2	2	2	2
89	2	1	1	2	3	2	1	1	1	2	2	2
