	gene8	gene7	gene1	gene3	gene4	gene2	cellnum	chrom3	chrom2	gene5	gene6	chrom1
0	1	2	1	2	1	1	1	1	4	1	3	1
1	2	2	1	2	3	1	2	2	1	1	3	3
2	2	2	2	1	2	1	2	2	1	2	1	3
3	1	2	2	2	1	2	2	3	1	2	2	2
4	2	4	2	2	1	1	3	2	2	2	2	2
5	1	1	1	4	2	2	2	2	2	3	2	2
6	2	2	2	3	2	2	2	2	2	1	2	2
7	2	1	2	3	2	2	3	2	2	2	4	2
8	2	4	3	2	2	2	4	1	1	2	1	1
9	1	2	2	2	1	2	4	2	3	4	1	1
10	1	2	2	2	2	1	4	2	1	3	2	1
11	1	2	2	2	2	2	1	4	2	2	3	2
12	1	2	3	1	2	2	1	2	2	2	2	1
13	2	4	2	2	1	2	2	2	1	2	1	2
14	2	2	1	1	1	2	2	2	3	2	1	2
15	1	2	1	2	1	1	2	3	4	2	2	1
16	2	2	2	2	2	2	3	2	2	2	4	2
17	4	2	2	2	2	2	1	2	2	2	2	1
18	2	1	1	2	2	2	3	3	2	1	2	2
19	2	1	1	2	1	3	3	2	2	2	2	2
20	2	2	2	1	2	2	2	2	1	3	4	2
21	1	2	3	3	3	2	2	3	2	2	2	1
22	2	3	1	2	4	1	1	2	2	2	2	2
23	1	1	1	1	2	3	2	2	2	2	1	2
24	2	2	2	2	1	1	2	2	2	1	2	2
25	1	1	2	2	1	3	1	1	1	2	1	2
26	1	2	1	1	2	2	2	2	2	2	2	4
27	1	2	2	2	2	2	2	2	2	2	2	2
28	2	2	2	2	2	1	2	1	2	2	1	2
29	1	2	1	1	1	2	2	2	2	3	2	1
30	1	3	1	2	1	1	2	1	1	1	2	2
31	1	2	2	2	2	2	1	1	1	1	2	1
32	1	1	3	4	2	2	2	1	1	2	2	1
33	1	3	1	2	1	2	2	1	1	2	2	1
34	2	2	2	1	2	2	2	4	3	2	1	2
35	2	2	2	3	2	3	2	2	1	2	2	1
36	1	2	1	2	3	1	2	2	2	1	2	2
37	2	2	2	3	2	3	2	2	1	2	2	3
38	1	2	2	2	2	1	1	2	2	3	2	2
39	1	2	1	1	1	4	2	2	1	2	2	2
40	2	2	1	2	2	1	2	1	1	2	3	1
41	4	2	1	3	1	3	2	2	2	2	2	1
42	1	2	1	1	2	1	3	2	2	1	1	1
43	2	2	1	4	1	1	2	2	2	4	4	2
44	1	2	4	2	2	1	2	2	2	1	2	2
45	2	2	2	1	2	1	1	2	4	3	2	1
46	1	2	2	2	1	2	1	1	1	3	3	1
47	2	1	1	3	2	1	3	1	2	2	1	2
48	2	2	2	2	2	2	2	3	2	2	1	2
49	2	2	1	1	2	2	2	2	1	3	2	2
50	1	2	2	2	2	2	2	3	1	2	2	2
51	2	2	2	1	2	2	2	2	4	2	2	1
52	3	1	2	2	1	3	1	2	2	1	1	2
53	2	2	2	2	1	2	2	2	1	1	1	3
54	1	2	2	1	3	2	2	2	1	2	2	1
55	1	3	2	3	2	1	2	2	1	2	2	1
56	2	2	1	3	1	2	2	1	1	3	1	1
57	2	2	2	1	3	2	2	2	2	1	2	2
58	3	2	1	3	2	1	3	4	2	1	2	2
59	1	2	2	2	2	1	2	1	3	1	2	1
60	2	3	2	2	2	2	1	1	2	2	2	2
61	2	2	3	2	1	2	2	1	2	3	2	2
62	2	4	2	2	2	2	2	3	2	2	2	2
63	2	3	1	1	2	2	2	2	1	4	3	2
64	2	1	2	1	4	1	2	2	2	1	2	1
65	4	2	2	2	2	2	1	2	2	2	2	2
66	1	2	2	2	2	2	2	2	1	1	2	2
67	2	2	2	1	2	2	2	2	2	2	2	1
68	2	2	2	1	2	3	2	2	2	2	1	2
69	2	2	3	2	1	2	2	2	2	2	4	1
70	1	2	2	1	2	4	2	1	2	1	2	2
71	1	1	3	2	2	2	1	2	2	2	2	2
72	2	2	1	3	2	2	2	1	2	2	2	2
73	3	3	1	3	2	2	2	2	1	1	2	2
74	2	3	2	4	1	1	2	1	1	2	2	1
75	1	2	1	2	2	2	1	2	2	3	2	1
76	2	2	2	2	1	2	2	2	2	2	1	2
77	3	2	1	2	2	2	1	3	1	2	2	2
78	2	1	3	2	1	2	3	3	2	2	2	1
79	1	2	2	2	2	2	2	2	2	2	2	2
80	2	1	1	1	2	1	2	1	1	2	2	2
81	2	2	1	4	2	1	2	3	2	2	2	1
82	2	2	2	2	2	2	1	3	2	1	1	2
83	2	2	2	1	2	2	2	3	3	2	2	3
84	2	2	2	1	1	2	2	1	1	1	2	2
85	3	2	2	3	1	3	2	2	1	1	1	2
86	2	1	2	2	2	2	2	2	2	1	1	2
87	1	2	1	2	1	2	2	1	2	2	2	1
88	2	1	2	2	1	1	2	1	1	2	2	2
89	2	2	2	3	2	1	2	2	3	2	1	2
