"rootgene1" "rootgene2" "rootgene3" "rootgene4" "rootgene5" "rootgene6" "rootgene7" "rootgene8" "rootcellcount" "offsgene1" "offsgene2" "offsgene3" "offsgene4" "offsgene5" "offsgene6" "offsgene7" "offsgene8" "offscellcount" "changeprobe1" "changeprobe2" "changeprobe3" "changeprobe4" "changeprobe5" "changeprobe6" "changeprobe7" "changeprobe8" "changeprobenumber" "TotalPrize"
2 2 2 2 2 2 2 2 4 2 2 2 2 2 1 2 2 3 0 0 0 0 0 1 0 0 1 0.0358984945169408
2 2 2 2 2 2 2 2 4 2 2 2 2 2 2 2 3 2 0 0 0 0 0 0 0 1 1 0.0126404936239186
2 2 2 2 2 2 2 2 4 2 2 2 2 2 2 3 2 4 0 0 0 0 0 0 1 0 1 0.0200633175971698
2 2 2 2 2 2 2 2 4 2 2 2 3 2 2 2 2 1 0 0 0 1 0 0 0 0 1 0.0159072578647458
2 2 2 2 2 2 2 2 4 3 2 2 2 2 2 2 2 1 1 0 0 0 0 0 0 0 1 0.0478286524576572
2 0 2 2 1 1 1 2 1 3 0 2 2 1 1 1 2 1 1 0 0 0 0 0 0 0 1 0.0243647637386673
2 1 2 2 0 1 1 2 1 2 1 2 3 2 1 1 4 1 0 0 0 1 1 0 0 1 3 0.000125044135132216
2 1 2 2 1 1 1 2 1 2 0 2 2 1 1 1 2 1 0 1 0 0 0 0 0 0 1 0.0143348354334807
2 1 2 2 1 1 1 2 1 2 1 2 2 0 1 1 2 1 0 0 0 0 1 0 0 0 1 0.0167724066151419
2 1 2 2 2 1 1 2 2 2 1 2 2 1 1 1 2 1 0 0 0 0 1 0 0 0 1 0.0404187503676369
2 1 2 2 2 2 2 2 5 2 1 2 2 2 2 2 3 1 0 0 0 0 0 0 0 1 1 0.0120733876525976
2 1 2 2 2 2 2 2 5 2 1 2 2 2 2 3 2 2 0 0 0 0 0 0 1 0 1 0.0191631923684892
2 1 2 2 2 2 2 3 1 2 1 2 2 2 2 2 4 1 0 0 0 0 0 0 0 1 1 0.0974102867425489
2 1 2 2 2 2 2 4 1 2 1 2 4 2 2 2 4 1 0 0 0 1 0 0 0 0 1 0.00448353689133943
2 1 2 3 2 1 1 4 1 2 1 2 3 2 2 1 4 1 0 0 0 0 0 1 0 0 1 0.0212227280428865
2 1 2 4 2 2 2 4 1 2 1 2 5 2 2 2 4 1 0 0 0 1 0 0 0 0 1 0.0191795744796187
2 1 2 4 2 2 2 4 1 2 1 3 4 2 2 2 4 1 0 0 1 0 0 0 0 0 1 0.0185834029075462
2 1 2 4 2 2 2 4 1 3 1 2 4 2 2 2 4 2 1 0 0 0 0 0 0 0 1 0.03600170041067
2 1 2 5 2 1 2 4 1 2 1 4 4 1 2 3 2 1 0 0 1 1 1 1 1 1 6 3.76805064098343e-07
2 1 2 5 2 2 2 4 1 2 1 2 5 2 1 2 4 1 0 0 0 0 0 1 0 0 1 0.0173884187313283
2 1 3 3 2 2 2 4 1 3 0 0 2 2 2 2 2 1 1 1 1 1 0 0 0 1 5 8.82923773523057e-08
2 1 3 4 2 2 2 4 1 2 1 3 3 2 2 2 4 1 0 0 0 1 0 0 0 0 1 0.0150124985255095
2 1 3 4 2 2 2 4 1 2 1 4 2 3 2 2 4 1 0 0 1 1 1 0 0 0 3 8.4943961345378e-05
2 1 3 4 2 2 2 4 1 2 1 4 4 2 2 2 4 3 0 0 1 0 0 0 0 0 1 0.0267419700376884
2 1 4 3 2 2 2 4 1 2 2 2 4 2 3 3 4 1 0 1 1 1 0 1 1 0 5 1.37227786113729e-06
2 1 4 4 2 2 2 4 3 2 1 4 3 2 2 2 4 1 0 0 0 1 0 0 0 0 1 0.0146817458040172
2 1 4 4 2 2 2 4 3 2 1 4 4 2 2 3 6 1 0 0 0 0 0 0 1 1 2 0.000192595295984701
2 1 4 4 2 2 2 4 3 2 1 4 4 3 3 3 3 1 0 0 0 0 1 1 1 1 4 2.22981401942375e-06
2 1 4 4 2 2 2 4 3 2 2 4 4 2 2 2 4 1 0 1 0 0 0 0 0 0 1 0.0304402739537761
2 1 4 4 2 2 2 4 3 3 1 4 4 2 2 2 4 2 1 0 0 0 0 0 0 0 1 0.033683089728484
2 1 4 4 3 3 3 3 1 4 0 4 2 3 2 2 4 1 1 1 0 1 0 1 1 1 6 1.48713270747685e-07
