"0" "1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11" "12" "13" "14" "15" "16" "total"
"0" 0 0.25 0.375 0.375 0 0 0 0 0 0 0 0 0 0 0 0 0 8
"1" 0.197 0 0.676 0.07 0.056 0 0 0 0 0 0 0 0 0 0 0 0 71
"2" 0.031 0.687 0 0.227 0.043 0.006 0.006 0 0 0 0 0 0 0 0 0 0 163
"3" 0.023 0.068 0.659 0 0.136 0.045 0.045 0.023 0 0 0 0 0 0 0 0 0 44
"4" 0 0.182 0.364 0.364 0 0.091 0 0 0 0 0 0 0 0 0 0 0 11
"5" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"6" 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1
"7" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"8" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"9" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"10" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"11" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"12" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"13" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"14" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"15" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"16" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"total" 20 119 85 49 17 4 3 2 0 0 0 0 0 0 0 0 0 0
