"0" "1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11" "12" "13" "14" "15" "16" "total"
"0" 0 0.2 0.8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5
"1" 0.019 0.897 0.075 0.005 0.005 0 0 0 0 0 0 0 0 0 0 0 0 213
"2" 0.003 0.199 0.757 0.018 0.023 0 0 0 0 0 0 0 0 0 0 0 0 608
"3" 0 0.111 0.111 0.333 0.444 0 0 0 0 0 0 0 0 0 0 0 0 9
"4" 0 0 0.444 0.111 0.222 0.222 0 0 0 0 0 0 0 0 0 0 0 9
"5" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"6" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"7" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"8" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"9" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"10" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"11" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"12" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"13" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"14" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"15" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"16" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"total" 6 315 485 16 21 2 0 0 0 0 0 0 0 0 0 0 0 0
