"0" "1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11" "12" "13" "14" "15" "16" "total"
"0" 0 0 0 0.333 0.333 0 0.333 0 0 0 0 0 0 0 0 0 0 3
"1" 0.048 0 0.714 0.19 0.048 0 0 0 0 0 0 0 0 0 0 0 0 21
"2" 0.042 0.3 0 0.5 0.158 0 0 0 0 0 0 0 0 0 0 0 0 120
"3" 0.014 0.014 0.278 0 0.625 0.056 0 0 0.014 0 0 0 0 0 0 0 0 72
"4" 0 0 0.259 0.284 0 0.346 0.062 0 0.037 0 0 0.012 0 0 0 0 0 81
"5" 0 0 0 0.071 0.571 0 0.286 0 0.071 0 0 0 0 0 0 0 0 14
"6" 0 0 0 0 0.333 0.167 0 0 0.5 0 0 0 0 0 0 0 0 6
"7" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 2
"8" 0 0 0 0 0.4 0 0.1 0.1 0 0.2 0.1 0.1 0 0 0 0 0 10
"9" 0 0 0 0 0 0.05 0 0 0.9 0 0.05 0 0 0 0 0 0 20
"10" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"11" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"12" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"13" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"14" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"15" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"16" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"total" 7 37 56 89 80 34 11 1 26 2 2 4 0 0 0 0 0 0
